Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 03:36:23.787542514 +0000 UTC m=+7500.755616782,1695440183,100,1.3999341524848523,4.5078125,3.903361344529488,16.306624203977034,0.25
2023-09-23 03:37:24.198102692 +0000 UTC m=+7561.166176942,1695440244,100,1.436035028181528,4.5078125,4.123668092968047,16.3754654775162,0.20499999999999993
2023-09-23 03:38:24.059367551 +0000 UTC m=+7621.027441788,1695440304,100,1.3631244205354447,4.5078125,3.972982043963691,16.39654232384428,0.3000000000000003
2023-09-23 03:39:23.946380351 +0000 UTC m=+7680.914454600,1695440363,100,1.5038076606027868,4.5078125,3.8398589953227646,16.390809616799025,0.20499999999999993
2023-09-23 03:40:23.769759166 +0000 UTC m=+7740.737833405,1695440423,100,1.4236689489916765,4.536458333333333,3.704481498590262,16.437549475091387,0.11499999999999985
2023-09-23 03:41:24.170975455 +0000 UTC m=+7801.139049702,1695440484,100,1.4674313535983148,4.565104166666667,3.876814634572079,16.39132190125839,0.2749999999999998
2023-09-23 03:42:24.073868903 +0000 UTC m=+7861.041943157,1695440544,100,1.8713615920545528,4.59375,3.7579778300222966,16.432719364474536,0.16750000000000007
2023-09-23 03:43:23.802559749 +0000 UTC m=+7920.770633986,1695440603,100,1.167370265696643,4.59375,3.811640389145521,16.412837848551636,0.11499999999999985
2023-09-23 03:44:23.817542871 +0000 UTC m=+7980.785617131,1695440663,100,1.8443743912880612,4.59375,3.683945223879459,16.46126092721048,0.3333333333333333
2023-09-23 03:45:23.774512158 +0000 UTC m=+8040.742586399,1695440723,100,2.0636023175679394,4.59375,3.955370999528385,16.448234265243816,0.20499999999999993
2023-09-23 03:46:23.69958734 +0000 UTC m=+8100.667661584,1695440783,100,1.3952988268870432,4.59375,3.8066059512234296,16.473726515721644,0.3625000000000001
2023-09-23 03:47:24.071340557 +0000 UTC m=+8161.039414798,1695440844,100,2.072015057179159,4.59375,3.9159663865582672,16.482923241492113,0.7000000000000001
2023-09-23 03:48:23.732747776 +0000 UTC m=+8220.700822014,1695440903,100,1.880765994907635,4.59375,3.7632153045802474,16.49041235239804,0.375
2023-09-23 03:49:23.72474029 +0000 UTC m=+8280.692814531,1695440963,100,2.1596234459161945,4.59375,3.758197410466446,16.49185162778387,0.048125
2023-09-23 03:50:23.741412256 +0000 UTC m=+8340.709486521,1695441023,100,1.6205932894765886,4.59375,3.741653718554838,16.464139477982137,0.33749999999999997
2023-09-23 03:51:24.117674444 +0000 UTC m=+8401.085748681,1695441084,100,1.3327963449943359,4.59375,4.2694178828876606,16.5006580415853,0.05
2023-09-23 03:52:24.3055064 +0000 UTC m=+8461.273580649,1695441144,100,1.1751919051724367,4.59375,3.8385537103154954,16.521003052971434,0.1599999999999999
2023-09-23 03:53:23.784546951 +0000 UTC m=+8520.752621188,1695441203,100,1.8543879539210952,4.59375,3.8045302013495097,16.522905823820498,0.2624999999999999
2023-09-23 03:54:24.004561483 +0000 UTC m=+8580.972635723,1695441264,100,1.4359540596790308,4.59375,3.640256959310484,16.547373505379596,0.030000000000000037
2023-09-23 03:55:24.001193013 +0000 UTC m=+8640.969267251,1695441324,100,1.3416735374999984,4.59375,5.267365055321626,15.758577410450847,0.4249999999999999
2023-09-23 03:56:23.939156952 +0000 UTC m=+8700.907231195,1695441383,100,1.9430412550187286,4.59375,3.8506760729002054,15.783679348959637,0.2199999999999998
2023-09-23 03:57:23.900654852 +0000 UTC m=+8760.868729091,1695441443,100,1.103587212500001,4.59375,3.779765654533074,15.77704404548598,0.14500000000000005
2023-09-23 03:58:23.904228247 +0000 UTC m=+8820.872302484,1695441503,100,1.399500117524013,4.59375,3.7716059741594643,15.81809998572922,0.04750000000000003
2023-09-23 03:59:24.342940931 +0000 UTC m=+8881.311015171,1695441564,100,1.785436254705712,4.59375,3.868910242949486,15.778068614404708,0.5
2023-09-23 04:00:23.822643223 +0000 UTC m=+8940.790717459,1695441623,100,1.7605340492596397,4.59375,3.4091386775374377,15.8211005089912,0.1
2023-09-23 04:01:23.854175565 +0000 UTC m=+9000.822249812,1695441683,100,1.689475566757575,4.59375,3.8855750651185295,15.765920154368384,0.41666666666666663
2023-09-23 04:02:23.750936537 +0000 UTC m=+9060.719010784,1695441743,100,1.3300351100714933,4.59375,3.533866217913295,15.822808123855744,0.9499999999999996
2023-09-23 04:03:23.991326081 +0000 UTC m=+9120.959400319,1695441803,100,1.4666678361459915,4.59375,3.702770780866105,15.825637885631275,0.030000000000000037
2023-09-23 04:04:24.35879416 +0000 UTC m=+9181.326868399,1695441864,100,1.527723346259341,4.59375,3.7662174077315425,15.81885621516923,0.23500000000000015
2023-09-23 04:05:23.809273521 +0000 UTC m=+9240.777347763,1695441923,100,1.438336667162895,4.59375,3.912842688613527,15.794437322606258,0.2749999999999998
2023-09-23 04:06:24.037515796 +0000 UTC m=+9301.005590033,1695441984,100,1.487505603014732,4.59375,3.617343080416746,15.82676003254226,0.5500000000000004
2023-09-23 04:07:23.941799053 +0000 UTC m=+9360.909873319,1695442043,100,1.5146662573017686,4.59375,3.9694207585895813,15.79260773525139,0.4333333333333334
2023-09-23 04:08:23.968871903 +0000 UTC m=+9420.936946143,1695442103,100,1.3054541164350988,4.59375,4.174716505667342,15.337308823367978,0.1
2023-09-23 04:09:24.405487265 +0000 UTC m=+9481.373561502,1695442164,100,1.9407820187805565,4.59375,4.950869236583488,15.878671524424382,0.20499999999999993
2023-09-23 04:10:23.913056018 +0000 UTC m=+9540.881130262,1695442223,100,1.2854252899675531,4.59375,5.36628346059167,16.523735236754703,0.15
2023-09-23 04:11:24.023236043 +0000 UTC m=+9600.991310287,1695442284,100,1.2700181569811437,4.59375,3.991940561637597,16.560034249875283,0.20499999999999993
2023-09-23 04:12:23.781857887 +0000 UTC m=+9660.749932137,1695442343,100,1.3017215929406698,4.59375,3.994281870172367,16.57967182081753,0.5249999999999998
2023-09-23 04:13:23.997821948 +0000 UTC m=+9720.965896200,1695442403,100,1.80235298281743,4.59375,4.055532183430543,16.605139676797297,0.5249999999999998
